时间,模块编号,地址,类型,容量mAh,循环
2026-06-27 10:08:01,Module8,103,charge,51,1
2026-06-27 10:08:01,Module3,98,charge,51,1
2026-06-27 10:08:03,Module1,96,charge,52,1
2026-06-27 10:08:03,Module2,97,charge,51,1
2026-06-27 10:08:03,Module6,101,charge,52,1
2026-06-27 10:08:03,Module19,114,charge,51,1
2026-06-27 10:08:03,Module20,115,charge,52,1
2026-06-27 10:08:04,Module21,116,charge,52,1
2026-06-27 10:08:04,Module26,121,charge,51,1
2026-06-27 10:08:06,Module10,105,charge,51,1
2026-06-27 10:08:06,Module25,120,charge,51,1
2026-06-27 10:08:06,Module31,126,charge,51,1
2026-06-27 10:08:08,Module4,99,charge,52,1
2026-06-27 10:08:08,Module9,104,charge,51,1
2026-06-27 10:08:08,Module12,107,charge,52,1
2026-06-27 10:08:09,Module17,112,charge,52,1
2026-06-27 10:08:09,Module22,117,charge,52,1
2026-06-27 10:08:09,Module27,122,charge,51,1
2026-06-27 10:08:11,Module11,106,charge,51,1
2026-06-27 10:08:11,Module13,108,charge,51,1
2026-06-27 10:08:11,Module18,113,charge,51,1
2026-06-27 10:08:13,Module5,100,charge,52,1
2026-06-27 10:08:13,Module7,102,charge,52,1
2026-06-27 10:08:13,Module15,110,charge,52,1
2026-06-27 10:08:14,Module23,118,charge,52,1
2026-06-27 10:08:14,Module24,119,charge,52,1
2026-06-27 10:08:14,Module32,127,charge,52,1
2026-06-27 10:08:16,Module28,123,charge,51,1
2026-06-27 10:08:21,Module30,125,charge,52,1
2026-06-27 10:09:05,Module16,111,discharge,85,1
2026-06-27 10:09:07,Module14,109,discharge,75,1
